function                                                                                                                                                              #calls  time     memory  time     memory
preg_replace_callback                                                                                                                                                   1220  0.0351   187008  0.0346   186768
strtolower                                                                                                                                                              5541  0.1263   177384  0.1263   177384
Message::numParam                                                                                                                                                        567  0.0157   176904  0.0157   176904
htmlspecialchars                                                                                                                                                        1224  0.0590   180464  0.0293   176304
MagicWordArray->getRegexStart                                                                                                                                            292  0.0299   179704  0.0116   175200
Wikibase\DataModel\HashArray->__construct                                                                                                                                652  0.1113    46464  0.0323   172288
Wikibase\Lib\Serializers\ClaimSerializer->getListSerializer                                                                                                              283  0.0749   185696  0.0306   172112
Wikibase\Lib\Store\Sql\SqlEntityInfoBuilder->injectLabel                                                                                                                 237  0.0071   170640  0.0071   170640
PPDStack->__construct                                                                                                                                                    342  0.0104   166896  0.0104   166896
Wikibase\Lib\Serializers\SnakSerializer->getSerialized                                                                                                                   347  0.2151   560176  0.0351   164272
Composer\Autoload\ClassLoader->findFile                                                                                                                                 1596  0.4355   249344  0.1157   161024
Wikibase\DataModel\Entity\PropertyId->__construct                                                                                                                       3328  0.5430   426048  0.1565   159760
Wikibase\DataModel\Entity\PropertyId->assertValidIdFormat                                                                                                               3328  0.3098   159744  0.1491   159744
Wikibase\DataModel\Entity\DispatchingEntityIdParser->__construct                                                                                                        3314  0.0975   159168  0.0975   159168
reset                                                                                                                                                                   2755  0.1736   153224  0.1736   153224
DataValues\TimeValue->getArrayValue                                                                                                                                      187  0.0059   151112  0.0059   151112
OutputPage::getHtmlFromLoaderLinks                                                                                                                                         3  0.0019   150680  0.0003   150200
Wikibase\DataModel\Entity\ItemId->assertValidIdFormat                                                                                                                   3084  0.2890   148032  0.1396   148032
call_user_func_array:{/Library/WebServer/Documents/php-master/includes/parser/Parser.php:3779}                                                                           285  0.6949   263904  0.0115   148024
DataValues\DataValueObject->toArray                                                                                                                                      346  0.0908   347568  0.0162   141168
{closure:/Library/WebServer/Documents/php-master/extensions/WikidataBuild/extensions/Wikibase/lib/resources/Resources.php:13-180}                                          1  0.0030   366496  0.0009   138336
Wikibase\Lib\Serializers\ClaimSerializer->getSerialized                                                                                                                  283  0.8934   874928  0.0340   134688
array_change_key_case                                                                                                                                                      3  0.0003   133112  0.0003   133112
Wikibase\DataModel\Entity\EntityIdValue::getType                                                                                                                        1495  0.0417   131560  0.0417   131560
Wikibase\DataModel\Entity\EntityIdValue->getArrayValue                                                                                                                   299  0.0615   165072  0.0143   126800
