function                                                                                                                                                              #calls  time     memory  time     memory
sys_get_temp_dir                                                                                                                                                           1  0.0000       32  0.0000       32
{closure:/Library/WebServer/Documents/php-master/extensions/WikibaseElastic/WikibaseElastic.php:19-27}                                                                     1  0.0013   104192  0.0001       24
DatabaseBase->restoreErrorHandler                                                                                                                                          1  0.0001     -432  0.0001       16
{closure:/Library/WebServer/Documents/php-master/includes/Setup.php:283-286}                                                                                               1  0.0044   706848  0.0001       16
Article->adjustDisplayTitle                                                                                                                                                1  0.0001       48  0.0000       16
PathRouterPatternReplacer->replace                                                                                                                                         1  0.0001      136  0.0000       16
Wikibase\DataModel\Snak\PropertyValueSnak->serialize                                                                                                                    2881  1.0120   792712  0.1354       16
wfFixSessionID                                                                                                                                                             1  0.0001       48  0.0000        8
WebRequest->checkSessionCookie                                                                                                                                             1  0.0001       48  0.0000        8
assert                                                                                                                                                                     6  0.0001        0  0.0001        0
Wikibase\Client\Hooks\SidebarHookHandlers->doParserAfterParse                                                                                                             26  0.0083     1248  0.0016        0
ArrayIterator->next                                                                                                                                                       27  0.0007        0  0.0007        0
fseek                                                                                                                                                                    847  0.0206        0  0.0206        0
Parser->getTitle                                                                                                                                                          52  0.0015        0  0.0015        0
Title->getText                                                                                                                                                            31  0.0008        0  0.0008        0
ParserOptions->getIsSectionPreview                                                                                                                                        26  0.0007        0  0.0007        0
Cite->checkRefsNoReferences                                                                                                                                              104  0.0055     2544  0.0020        0
constant                                                                                                                                                                   6  0.0002        0  0.0002        0
Parser->getOptions                                                                                                                                                        27  0.0008        0  0.0008        0
Language->linkPrefixExtension                                                                                                                                             26  0.0060      320  0.0010        0
Title->getPartialURL                                                                                                                                                       3  0.0001        0  0.0001        0
ParserOptions->getEnableLimitReport                                                                                                                                       52  0.0015        0  0.0015        0
wfUrlProtocolsWithoutProtRel                                                                                                                                              27  0.0034     9216  0.0009        0
is_bool                                                                                                                                                                  929  0.0209        0  0.0209        0
Wikibase\DirectSqlStore->getSiteLinkTable                                                                                                                                 30  0.0010      688  0.0009        0
QuickTemplate->getSkin                                                                                                                                                    19  0.0005        0  0.0005        0
Wikibase\SqlStore->getTermIndex                                                                                                                                           30  0.0084   416040  0.0009        0
DataValues\Deserializers\DataValueDeserializer->__construct                                                                                                                4  0.0281   411904  0.0002        0
Wikibase\Client\WikibaseClient->getEntityLookup                                                                                                                            1  0.0008     4944  0.0000        0
Wikibase\DirectSqlStore->getEntityRevisionLookup                                                                                                                          30  0.0013     3560  0.0009        0
Wikibase\Client\WikibaseClient->getLangLinkSiteGroup                                                                                                                       1  0.0001        0  0.0000        0
Wikibase\Client\WikibaseClient->getContentLanguage                                                                                                                         1  0.0000        0  0.0000        0
User->loadFromId                                                                                                                                                           1  0.0019     3088  0.0000        0
Serializers\DispatchingSerializer->__construct                                                                                                                             3  0.0002      144  0.0001        0
Deserializers\DispatchingDeserializer->__construct                                                                                                                         4  0.0006      192  0.0002        0
WebRequest->getSessionData                                                                                                                                                 9  0.0003        0  0.0003        0
User->getRequest                                                                                                                                                           5  0.0001        0  0.0001        0
DataValues\Deserializers\DataValueDeserializer->isDataValueClass                                                                                                          40  0.0260   413632  0.0019        0
MWOAuthUtils::hasOAuthHeaders                                                                                                                                              1  0.0002       48  0.0000        0
Parser->areSubpagesAllowed                                                                                                                                                26  0.0026     1248  0.0012        0
ParserOutput->getTitleText                                                                                                                                                28  0.0008        0  0.0008        0
ResultWrapper->current                                                                                                                                                  1761  0.1127    12232  0.0615        0
array_key_exists                                                                                                                                                       23418  0.5687        0  0.5687        0
ResultWrapper->fetchObject                                                                                                                                              1126  0.3862  1490016  0.0419        0
Site->getLanguageCode                                                                                                                                                     28  0.0008        0  0.0008        0
ResultWrapper->numRows                                                                                                                                                    39  0.0107     1872  0.0015        0
SiteList->setSite                                                                                                                                                        458  0.3138   186344  0.0171        0
GenericArrayObject->offsetSet                                                                                                                                            916  0.5745   372592  0.0353        0
Wikibase\Repo\View\SiteLinksView->__construct                                                                                                                              1  0.0003       48  0.0001        0
GenericArrayObject->unserialize                                                                                                                                            1  0.5385  3418424  0.0081        0
Site->getGroup                                                                                                                                                          5310  0.1408        0  0.1408        0
Site->getGlobalId                                                                                                                                                       1832  0.0702        0  0.0702        0
Site->getInternalId                                                                                                                                                      916  0.0253        0  0.0253        0
Title->exists                                                                                                                                                            107  0.0380     5232  0.0048        0
Wikibase\DataModel\Entity\EntityId->__toString                                                                                                                             5  0.0001        0  0.0001        0
is_resource                                                                                                                                                              260  0.0061        0  0.0061        0
fwrite                                                                                                                                                                   260  0.0125        0  0.0125        0
MWMemcached->get_sock                                                                                                                                                    260  0.0181      656  0.0097        0
stream_set_write_buffer                                                                                                                                                    1  0.0000        0  0.0000        0
stream_set_timeout                                                                                                                                                         1  0.0000        0  0.0000        0
ParserOutput->setEditSectionTokens                                                                                                                                         2  0.0002       96  0.0001        0
Wikibase\DataModel\Entity\Item->hasClaims                                                                                                                                  1  0.0001       48  0.0000        0
Wikibase\Repo\View\TextInjector->getMarkers                                                                                                                                1  0.0000        0  0.0000        0
Html::inlineScript                                                                                                                                                         9  0.0080   150608  0.0004        0
Wikibase\EntityView->getPlaceholders                                                                                                                                       1  0.0001        0  0.0000        0
Wikibase\DataModel\Term\Fingerprint->isEmpty                                                                                                                               1  0.0001       48  0.0000        0
Wikibase\DataModel\Entity\Item->isEmpty                                                                                                                                    1  0.0001       48  0.0000        0
DateTimeZone->__construct                                                                                                                                                 67  0.0020        0  0.0020        0
DateTime->__construct                                                                                                                                                     63  0.0023        0  0.0023        0
Language->getConvRuleTitle                                                                                                                                                26  0.0017     1248  0.0009        0
Revision->getTitle                                                                                                                                                         4  0.0001        0  0.0001        0
FakeConverter->convertTitle                                                                                                                                               26  0.0017        0  0.0009        0
Language->convertTitle                                                                                                                                                    26  0.0027        0  0.0010        0
ParserOutput->setTitleText                                                                                                                                                26  0.0024     2080  0.0009        0
ParserOptions->getDisableTitleConversion                                                                                                                                  26  0.0007        0  0.0007        0
Language->convert                                                                                                                                                          4  0.0003        0  0.0002        0
ParserOptions->getDisableContentConversion                                                                                                                                26  0.0007        0  0.0007        0
Parser->replaceLinkHolders                                                                                                                                                26  0.0304     3064  0.0010        0
ParserOptions->getInterfaceMessage                                                                                                                                        26  0.0007        0  0.0007        0
Parser->getConverterLanguage                                                                                                                                              57  0.0057        0  0.0021        0
FakeConverter->convert                                                                                                                                                     4  0.0001        0  0.0001        0
StripState->unstripNoWiki                                                                                                                                                 27  0.0026        0  0.0010        0
Revision->getTimestamp                                                                                                                                                     4  0.0020      576  0.0002        0
WikiPage->getId                                                                                                                                                           16  0.0005        0  0.0005        0
ORMTable->getTargetWiki                                                                                                                                                    1  0.0000        0  0.0000        0
MediaWikiSite->__construct                                                                                                                                               885  0.0553    42480  0.0312        0
wfTimestampOrNull                                                                                                                                                          6  0.0031      864  0.0002        0
MWTimestamp->__construct                                                                                                                                                  63  0.0206    20496  0.0025        0
ORMTable->getName                                                                                                                                                          1  0.0000        0  0.0000        0
Skin->afterContentHook                                                                                                                                                     1  0.0003       80  0.0001        0
ParserOptions->getExpensiveParserFunctionLimit                                                                                                                            26  0.0007        0  0.0007        0
Title->getBaseTitle                                                                                                                                                       26  0.0137   116536  0.0015        0
ParserOutput->setText                                                                                                                                                     27  0.0025   429048  0.0010        0
Wikibase\Lib\MessageSnakFormatter->formatSnak                                                                                                                              1  0.0624   640368  0.0000        0
Wikibase\Validators\UrlSchemeValidators->ftp                                                                                                                               1  0.0001      904  0.0000        0
StripState->unstripGeneral                                                                                                                                                52  0.0050        0  0.0019        0
ValueFormatters\StringFormatter->format                                                                                                                                   28  0.0018        0  0.0010        0
Revision->getTextId                                                                                                                                                        2  0.0001        0  0.0001        0
mb_strlen                                                                                                                                                                545  0.0128        0  0.0128        0
Wikibase\Validators\UrlSchemeValidators->http                                                                                                                              3  0.0013    22384  0.0001        0
Wikibase\Validators\UrlSchemeValidators->getValidator                                                                                                                      7  0.0022    26000  0.0003        0
Wikibase\Validators\UrlSchemeValidators->https                                                                                                                             3  0.0003     2712  0.0001        0
Wikibase\Lib\DispatchingSnakFormatter->getFormatter                                                                                                                      347  0.0105        0  0.0105        0
Wikibase\Repo\View\SnakHtmlGenerator->getSnakViewVariation                                                                                                               347  0.0227    27760  0.0130        0
Wikibase\EntityView->getHtmlForTermBox                                                                                                                                     1  0.0003      888  0.0001        0
Wikibase\EntityRevision->getRevision                                                                                                                                     228  0.0067        0  0.0067        0
Wikibase\Repo\Content\EntityHandler->getDefaultFormat                                                                                                                      2  0.0001      176  0.0001        0
IP::combineHostAndPort                                                                                                                                                     1  0.0001        0  0.0000        0
Revision::decompressRevisionText                                                                                                                                           2  0.0002        0  0.0001        0
WikiPage->getTitle                                                                                                                                                        30  0.0008        0  0.0008        0
Title->getUserPermissionsErrors                                                                                                                                            3  0.0303  1268952  0.0001        0
DataValues\Geo\Values\GlobeCoordinateValue->getLatLong                                                                                                                     2  0.0001        0  0.0001        0
Wikibase\Lib\DispatchingValueFormatter->getFormatter                                                                                                                     346  0.0116        0  0.0116        0
CirrusSearch\Hooks::overrideNumeric                                                                                                                                        4  0.0008      192  0.0002        0
abs                                                                                                                                                                       13  0.0003        0  0.0003        0
floor                                                                                                                                                                     16  0.0004        0  0.0004        0
CirrusSearch\Hooks::overrideYesNo                                                                                                                                          3  0.0006      144  0.0001        0
Wikibase\Lib\PropertyValueSnakFormatter->getDataValueTypeForPropertyDataType                                                                                             346  0.0795   287736  0.0169        0
Title->isSpecial                                                                                                                                                           4  0.0004      192  0.0001        0
CirrusSearch\Hooks::onBeforeInitialize                                                                                                                                     1  0.0020     1096  0.0000        0
CirrusSearch\Hooks::overrideUseExtraPluginForRegex                                                                                                                         1  0.0002       48  0.0000        0
DataTypes\DataType->getDataValueType                                                                                                                                     346  0.0099        0  0.0099        0
Wikibase\EntityView->getHtmlForFingerprint                                                                                                                                 1  0.2015  2133776  0.0001        0
Wikibase\DataModel\Statement\StatementList->__construct                                                                                                                    4  0.0013    58496  0.0002        0
{closure:/Library/WebServer/Documents/php-master/extensions/WikidataBuild/extensions/Wikibase/repo/config/Wikibase.default.php:78-80}                                      1  0.0000        0  0.0000        0
{closure:/Library/WebServer/Documents/php-master/extensions/WikidataBuild/extensions/Wikibase/repo/config/Wikibase.default.php:74-76}                                      1  0.0000        0  0.0000        0
Wikibase\DataModel\Term\Term->getLanguageCode                                                                                                                           3375  0.0924        0  0.0924        0
Wikibase\DataModel\Term\Fingerprint->getLabels                                                                                                                           316  0.0092        0  0.0092        0
Wikibase\DataModel\Deserializers\EntityDeserializer->setIdFromSerialization                                                                                                2  0.0013      880  0.0001        0
Wikibase\Repo\WikibaseRepo->getEntityStore                                                                                                                                13  0.0070   183144  0.0006        0
Wikibase\SqlStore->getEntityStore                                                                                                                                         13  0.0060   183144  0.0004        0
Wikibase\Repo\WikibaseRepo->getEntityRevisionLookup                                                                                                                       14  0.0016        0  0.0007        0
Wikibase\DataModel\Term\AliasGroupList->hasGroupForLanguage                                                                                                               22  0.0029     1056  0.0010        0
Wikibase\DataModel\Term\Fingerprint->getAliasGroups                                                                                                                       35  0.0010        0  0.0010        0
Wikibase\DataModel\Term\Fingerprint->getDescriptions                                                                                                                      11  0.0003        0  0.0003        0
Wikibase\DataModel\Entity\Item->setId                                                                                                                                      2  0.0001        0  0.0001        0
Wikibase\DataModel\Deserializers\SiteLinkDeserializer->deserializeItemId                                                                                                   6  0.0035     2648  0.0002        0
Wikibase\Template->fetchMessage                                                                                                                                         1498  0.1004        0  0.0569        0
Wikibase\TemplateRegistry->getTemplate                                                                                                                                  1498  0.0435        0  0.0435        0
Wikibase\Template->render                                                                                                                                               1498  1.3042  3227048  0.0534        0
Wikibase\Repo\View\SectionEditLinkGenerator->getToolbarButton                                                                                                             60  0.0550    49096  0.0024        0
Deserializers\TypedObjectDeserializer->assertAttributeIsArray                                                                                                              8  0.0008      384  0.0003        0
Wikibase\Template->__construct                                                                                                                                          1498  0.2445  1618816  0.0576        0
BaseTemplate->renderAfterPortlet                                                                                                                                           2  0.0027    12608  0.0001        0
strpos                                                                                                                                                                  6470  0.1511        0  0.1511        0
Wikibase\DataModel\SiteLink->getSiteId                                                                                                                                   279  0.0078        0  0.0078        0
Wikibase\DataModel\SiteLink->__construct                                                                                                                                  30  0.0080    34096  0.0017        0
SpecialPage->getPageTitle                                                                                                                                                 13  0.0122    58344  0.0005        0
round                                                                                                                                                                     23  0.0005        0  0.0005        0
DataValues\Geo\Formatters\GeoCoordinateFormatter->formatCoordinate                                                                                                         4  0.0034      320  0.0002        0
extension_loaded                                                                                                                                                           4  0.0001        0  0.0001        0
Wikibase\Lib\Store\WikiPageEntityRevisionLookup->getProperEntityId                                                                                                       226  0.1408    99440  0.0113        0
Wikibase\Lib\Store\WikiPageEntityRevisionLookup->loadPageRow                                                                                                             226  1.2958   838888  0.0099        0
QuickTemplate->get                                                                                                                                                         5  0.0002        0  0.0002        0
BaseTemplate->getMsg                                                                                                                                                      12  0.0088    25488  0.0005        0
StubUserLang->_newObject                                                                                                                                                   1  0.2741  1888312  0.0001        0
wfGetCache                                                                                                                                                                 7  0.0004        0  0.0002        0
ValueFormatters\FormatterOptions->getOption                                                                                                                              683  0.0424        0  0.0257        0
DataValues\QuantityValue->getUnit                                                                                                                                          4  0.0001        0  0.0001        0
Wikibase\Repo\WikibaseRepo->getEntityTitleLookup                                                                                                                          19  0.0102   114408  0.0007        0
Wikibase\Repo\WikibaseRepo->getEntityLookup                                                                                                                                7  0.0153   339584  0.0003        0
bccomp                                                                                                                                                                     4  0.0001        0  0.0001        0
Wikibase\Lib\EntityIdFormatter->format                                                                                                                                   299  3.5951  7287456  0.0157        0
is_readable                                                                                                                                                              489  0.0138        0  0.0138        0
ksort                                                                                                                                                                     18  0.0005        0  0.0005        0
SkinFactory->getSkinNames                                                                                                                                                 19  0.0005        0  0.0005        0
Language->getMonthName                                                                                                                                                    17  0.0843     6304  0.0007        0
Wikibase\Lib\MwTimeIsoFormatter->formatTimeValue                                                                                                                           9  0.0335     2880  0.0005        0
Wikibase\Lib\MwTimeIsoFormatter->format                                                                                                                                    9  0.0338     2880  0.0003        0
Skin::getSkinNames                                                                                                                                                        19  0.0020        0  0.0009        0
DataValues\TimeValue->getPrecision                                                                                                                                        18  0.0005        0  0.0005        0
User->isAnon                                                                                                                                                              20  0.0027      960  0.0007        0
time                                                                                                                                                                     316  0.0075        0  0.0075        0
MWOAuthAPISetup::onUserLoadAfterLoadFromSession                                                                                                                            1  0.0001       48  0.0000        0
DataValues\TimeValue->getTime                                                                                                                                             18  0.0005        0  0.0005        0
Wikibase\Lib\MediaWikiNumberLocalizer->localizeNumber                                                                                                                      8  0.0034      640  0.0003        0
Wikibase\Lib\MwTimeIsoFormatter->__construct                                                                                                                               5  0.0016      480  0.0003        0
Language->digitTransformTable                                                                                                                                           1463  0.0973      320  0.0525        0
Language->separatorTransformTable                                                                                                                                       1438  0.0981      448  0.0524        0
Language->formatNum                                                                                                                                                     1169  0.4521    92608  0.0665        0
PPDStack->addPart                                                                                                                                                        570  0.0973   323792  0.0263        0
WikiPage->getActionOverrides                                                                                                                                               7  0.5589 11646040  0.0003        0
Language->digitGroupingPattern                                                                                                                                          1144  0.0783      320  0.0417        0
Wikibase\Lib\Serializers\ClaimSerializer::serializeRank                                                                                                                  283  0.0084        0  0.0084        0
DataValues\Geo\Formatters\GeoCoordinateFormatter->makeDirectional                                                                                                          4  0.0008      320  0.0002        0
DataValues\Geo\Formatters\GeoCoordinateFormatter->makeDirectionalIfNeeded                                                                                                  4  0.0012      320  0.0002        0
WebRequest->getProtocol                                                                                                                                                    2  0.0001       80  0.0001        0
Wikibase\Repo\View\SnakHtmlGenerator->getFormattedSnakValue                                                                                                              347  4.1545  8290536  0.0137        0
ctype_digit                                                                                                                                                              294  0.0067        0  0.0067        0
Wikibase\Repo\Content\EntityHandler->__construct                                                                                                                           2  0.0016    12928  0.0001        0
log10                                                                                                                                                                      4  0.0001        0  0.0001        0
DataValues\QuantityValue->getLowerBound                                                                                                                                    8  0.0002        0  0.0002        0
ValueFormatters\QuantityFormatter->getRoundingExponent                                                                                                                     4  0.0026      192  0.0002        0
ValueFormatters\ValueFormatterBase->getOption                                                                                                                            630  0.0630        0  0.0238        0
ValueFormatters\ValueFormatterBase->defaultOption                                                                                                                         32  0.0053     3120  0.0012        0
DataValues\QuantityValue->getUpperBound                                                                                                                                    8  0.0002        0  0.0002        0
Wikibase\Lib\WikibaseValueFormatterBuilders->getPlainTextFormatters                                                                                                        5  0.0389   895712  0.0002        0
Html::hidden                                                                                                                                                               1  0.0015      128  0.0000        0
Html::input                                                                                                                                                                1  0.0015      128  0.0000        0
DataValues\QuantityValue->getAmount                                                                                                                                       16  0.0005        0  0.0005        0
floatval                                                                                                                                                                  25  0.0006        0  0.0006        0
DataValues\TimeValue->getCalendarModel                                                                                                                                     9  0.0003        0  0.0003        0
ParserOutput->getJsConfigVars                                                                                                                                              1  0.0000        0  0.0000        0
ResourceLoader->getConfig                                                                                                                                                 56  0.0016        0  0.0016        0
OutputPage->getModuleScripts                                                                                                                                               2  0.0005      432  0.0001        0
ResourceLoaderModule->getOrigin                                                                                                                                          109  0.0030        0  0.0030        0
OutputPage->getAllowedModules                                                                                                                                            109  0.0030        0  0.0030        0
ResourceLoaderFileModule->getPosition                                                                                                                                     34  0.0009        0  0.0009        0
OutputPage->getModuleMessages                                                                                                                                              2  0.3999  3459384  0.0001        0
is_string                                                                                                                                                              41007  0.9403        0  0.9403        0
mb_internal_encoding                                                                                                                                                       1  0.0000        0  0.0000        0
ArrayObject->offsetExists                                                                                                                                               3905  0.1069        0  0.1069        0
Wikibase\Repo\WikibaseRepo->getSettings                                                                                                                                  999  0.0279        0  0.0279        0
is_object                                                                                                                                                               5600  0.1259        0  0.1259        0
Xml::encodeJsVar                                                                                                                                                          18  0.0157   149840  0.0007        0
wfGetLangConverterCacheStorage                                                                                                                                             1  0.0001        0  0.0000        0
ResourceLoaderContext->getDebug                                                                                                                                           17  0.0005        0  0.0005        0
ResourceLoaderContext->getUser                                                                                                                                            17  0.0005        0  0.0005        0
